Address,Type,Datetime,Latitude,Longitude
1526 3rd Ave,Auto Fire Alarm,2025 Dec 29 07:23:00 PM,47.610003,-122.338025
116 Stewart St,Illegal Burn,2025 Dec 29 07:19:00 PM,47.610387,-122.341198
4003 34TH AVE W,Chimney Fire,2025 Dec 29 07:01:00 PM,47.655884,-122.400896
4544 7th Ave Ne,Auto Fire Alarm,2025 Dec 29 06:35:00 PM,47.662004,-122.320724
3rd Ave S / S Lander St,Illegal Burn,2025 Dec 29 06:32:00 PM,47.579716,-122.329988
10336 Lake City Way Ne,Illegal Burn,2025 Dec 29 05:56:00 PM,47.703425,-122.301605
1144 Sturgus Ave S,Illegal Burn,2025 Dec 29 05:49:00 PM,47.592768,-122.31327
2209 1st Ave,Auto Fire Alarm,2025 Dec 29 05:20:00 PM,47.612669,-122.345319
2201 S Grand St,Auto Fire Alarm,2025 Dec 29 05:11:00 PM,47.586924,-122.303848
700 Seneca St,Illegal Burn,2025 Dec 29 04:44:00 PM,47.609015,-122.330631
1100 E Harrison St,Auto Fire Alarm,2025 Dec 29 03:48:00 PM,47.621971,-122.317823
4730 California Ave Sw,Auto Fire Alarm,2025 Dec 29 03:24:00 PM,47.560561,-122.386794
6th Ave S / S Holgate St,Brush Fire,2025 Dec 29 03:08:00 PM,47.586175,-122.325975
1504 Aurora Ave N,Auto Fire Alarm,2025 Dec 29 02:32:00 PM,47.632345,-122.343398
10345 Meridian Ave N,Auto Fire Alarm,2025 Dec 29 02:23:00 PM,47.703624,-122.333909
Boylston Ave E / E Olive Way,Illegal Burn,2025 Dec 29 12:26:00 PM,47.619809,-122.323471
3800 S Angeline St,Auto Fire Alarm,2025 Dec 29 12:05:00 PM,47.559459,-122.284294
4553 14th Ave S,Rubbish Fire,2025 Dec 29 11:52:00 AM,47.562527,-122.314815
435 Dexter Ave N,Auto Fire Alarm,2025 Dec 29 11:49:00 AM,47.622461,-122.342368
10330 Meridian Ave N,Auto Fire Alarm,2025 Dec 29 11:40:00 AM,47.703486,-122.333907
6720 East Green Lake Way N,Auto Fire Alarm,2025 Dec 29 11:30:00 AM,47.67834,-122.32895
Martin Luther King Jr Way E / E Madison St,Illegal Burn,2025 Dec 29 11:27:00 AM,47.623317,-122.296424
15th Ave E / E John St,Illegal Burn,2025 Dec 29 10:27:00 AM,47.619967,-122.312719
600 N 130th St,Auto Fire Alarm,2025 Dec 29 09:55:00 AM,47.723223,-122.351624
