OBJECTID,GEOID,Tract Label,Tract Name,Community Reporting Area Name,Community Reporting Area ID,Year,Tract Median Apartment Contract Rent per Square Foot,Tract Median Apartment Contract Rent per Unit,Year over Year Change in Rent per Square Foot,Year over Year Change in Rent per Unit,Cost Category,Year over Year Change in Rent Category,Mixed-Rate or Mixed-Income Apartment in Tract,Level of Concern,PROPERTIES,Shape__Area,Shape__Length
57,53033007403,74.03,Census Tract 74.03,Capitol Hill,6.2,2001,2.01,1194,0.052356021,0.053839365,Medium,Stable,1007,,49,1276089.069,5227.495287
58,53033007002,70.02,Census Tract 70.02,Queen Anne,12.3,2001,1.95,1263,0.054054054,0.0525,Medium,Stable,1561,,76,4746869.846,9490.799057
59,53033005803,58.03,Census Tract 58.03,Interbay,12.2,2001,1.39,1000,0.045112782,0.043841336,Low,Stable,323,,29,8956173.425,17129.19881
60,53033005902,59.02,Census Tract 59.02,Queen Anne,12.3,2001,1.47,1129,0.057553957,0.054154995,Low,Stable,103,,10,11010649.89,15184.22057
61,53033004902,49.02,Census Tract 49.02,Fremont,11.1,2001,2,1172,0.052631579,0.053956835,Medium,Stable,733,,64,6448262.34,10801.73149
62,53033005801,58.01,Census Tract 58.01,Interbay,12.2,2001,1.48,1297,0.064748201,0.063986874,Medium,Stable,1036,,43,19618424.24,25500.01395
63,53033007406,74.06,Census Tract 74.06,Capitol Hill,6.2,2001,2,1042,0.052631579,0.051463169,Medium,Stable,1078,,41,1623443.827,6764.477241
64,53033007405,74.05,Census Tract 74.05,Capitol Hill,6.2,2001,2,1094,0.052631579,0.052935515,Medium,Stable,1203,,46,1418974.042,5012.79869
65,53033009701,97.01,Census Tract 97.01,Alki/Admiral,1.4,2001,1.48,1237,0.057142857,0.053662692,Medium,Stable,395,,35,19291172.12,29764.00034
66,53033009600,96,Census Tract 96,Alki/Admiral,1.4,2001,1.42,1152,0.051851852,0.051094891,Low,Stable,432,,32,19741501.65,20745.406
67,53033008700,87,Census Tract 87,Central Area/Squire Park,5.3,2001,1.86,1077,0.050847458,0.052785924,Medium,Stable,485,,39,7883013.17,11432.38421
68,53033011402,114.02,Census Tract 114.02,Roxhill/Westwood,2.4,2001,1.61,967,0.052287582,0.051086957,Low,Stable,405,,23,12779277.86,17351.05501
69,53033011200,112,Census Tract 112,South Park,3.1,2001,0.92,562,0.045454545,0.048507463,Low,Stable,175,,15,26463890.03,27002.33758
70,53033010900,109,Census Tract 109,Georgetown,3.2,2001,1.74,875,0.048192771,0.051682692,Low,Stable,137,,13,51677122.71,44978.75384
71,53033011002,110.02,Census Tract 110.02,South Beacon Hill/NewHolly,3.4,2001,0,0,0,0,,,0,,0,18508908.46,22511.12676
72,53033011102,111.02,Census Tract 111.02,Seward Park,4.3,2001,1.06,733,0.06,0.05316092,Low,Stable,450,,22,13970026.69,20411.17006
73,53033010702,107.02,Census Tract 107.02,High Point,2.2,2001,0,0,0,0,,,0,,0,8396926.793,14935.93024
74,53033001100,11,Census Tract 11,Olympic Hills/Victory Heights,8.2,2001,0.92,699,0.057471264,0.054298643,Low,Stable,188,,11,11416399.59,14159.12735
75,53033000700,7,Census Tract 7,Olympic Hills/Victory Heights,8.2,2001,1.35,963,0.046511628,0.047878128,Low,Stable,755,,53,13932242.39,16134.02991
76,53033000202,2.02,Census Tract 2.02,Olympic Hills/Victory Heights,8.2,2001,1.18,942,0.063063063,0.059617548,Low,Stable,187,,6,15930118.49,17285.82737
77,53033000101,1.01,Census Tract 1.01,Cedar Park/Meadowbrook,8.3,2001,1.25,890,0.059322034,0.053254438,Low,Stable,948,,33,4465058.881,8662.074215
78,53033003301,33.01,Census Tract 33.01,Whittier Heights,10.2,2001,1.86,1122,0.050847458,0.052532833,Medium,Stable,525,,58,7202858.493,11177.18133
79,53033003602,36.02,Census Tract 36.02,Green Lake,9.4,2001,2.11,1228,0.049751244,0.051369863,High,Stable,558,,42,5621886.085,11471.09438
80,53033001900,19,Census Tract 19,Northgate/Maple Leaf,8.1,2001,1.75,1293,0.047904192,0.050365556,Medium,Stable,129,,8,17945171.52,18948.48127
81,53033001702,17.02,Census Tract 17.02,Greenwood/Phinney Ridge,9.3,2001,0,0,0,0,,,0,,0,13779275.76,17476.40751
82,53033006500,65,Census Tract 65,North Capitol Hill,6.3,2001,1.89,1251,0.055865922,0.052144659,Medium,Stable,950,,74,12352257.76,17921.50133
83,53033006200,62,Census Tract 62,Montlake/Portage Bay,7.1,2001,0,0,0,0,,,0,,0,24610619.74,40010.59926
84,53033005305,53.05,Census Tract 53.05,University District,7.2,2001,2.05,989,0.056701031,0.053248136,Medium,Stable,1174,,46,2292236.616,6048.609222
85,53033002600,26,Census Tract 26,Ravenna/Bryant,7.3,2001,2.08,1292,0.050505051,0.052974735,High,Stable,191,,5,13398040.18,15933.9379
86,53033002000,20,Census Tract 20,Northgate/Maple Leaf,8.1,2001,1.38,1036,0.053435115,0.053916582,Low,Stable,206,,9,12183878.82,15509.54571
87,53033006300,63,Census Tract 63,Madison Park,6.5,2001,1.5,1143,0.056338028,0.054428044,Medium,Stable,578,,20,27750333.4,36285.84892
88,53033006600,66,Census Tract 66,Cascade/Eastlake,11.3,2001,1.83,1214,0.057803468,0.053819444,Medium,Stable,1162,,80,11110296.85,21995.1063
89,53033006900,69,Census Tract 69,Queen Anne,12.3,2001,1.59,1052,0.052980132,0.054108216,Low,Stable,468,,34,9742176.65,15666.54395
90,53033006000,60,Census Tract 60,Queen Anne,12.3,2001,1.91,1409,0.055248619,0.053064275,High,Stable,668,,55,14158764.71,19123.03263
91,53033005201,52.01,Census Tract 52.01,Wallingford,11.2,2001,2.29,1055,0.055299539,0.052894212,Medium,Stable,269,,19,7536632.481,14175.92406
92,53033005000,50,Census Tract 50,Wallingford,11.2,2001,2,1254,0.052631579,0.052013423,Medium,Stable,749,,60,8151942.295,11560.14801
93,53033008600,86,Census Tract 86,First Hill,6.1,2001,2.17,1182,0.053398058,0.0544157,High,Stable,997,,45,7656616.626,11640.72061
94,53033008002,80.02,Census Tract 80.02,Belltown,13.1,2001,2.51,1789,0.054621849,0.052352941,High,Stable,1131,,14,2522029.808,7998.382466
95,53033007901,79.01,Census Tract 79.01,Central Area/Squire Park,5.3,2001,1.91,1222,0.055248619,0.053448276,Medium,Stable,709,,45,2876299.502,7879.404339
96,53033007202,72.02,Census Tract 72.02,Cascade/Eastlake,11.3,2001,2.46,1818,0.051282051,0.051474841,High,Stable,559,,10,3020075.663,7591.701883
97,53033007301,73.01,Census Tract 73.01,Cascade/Eastlake,11.3,2001,2.21,1556,0.052380952,0.051351351,High,Stable,274,,6,2699344.108,7422.610693
