"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"Black or African American","Female","Seattle Public Utilities","50","79.60","R","Active"
"White","Female","Community Safety and Communication Center","55","45.59","R","Active"
"Black or African American","Female","Neighborhoods","58","68.03","R","Active"
"Black or African American","Male","Seattle Police Department","38","83.05","R","Active"
"White","Male","Seattle Police Department","48","76.82","R","Active"
"White","Female","Construction and Inspections","49","51.24","R","Active"
"White","Female","Seattle City Light","61","73.66","R","Active"
"White","Male","Seattle Center","83","45.05","T","Active"
"White","Female","Seattle Public Utilities","32","87.31","R","Active"
"Black or African American","Female","Seattle City Light","65","37.47","R","Active"
"Not Specified","Male","Seattle Police Department","54","76.82","R","Active"
"Two or More Races","Male","Finance and Administrative Service","68","63.69","R","Active"
"Asian","Female","Seattle Department of Transportation","56","73.66","R","Active"
"Black or African American","Male","Seattle Public Library","53","38.31","R","Active"
"Two or More Races","Male","Seattle Department of Transportation","42","92.84","R","Active"
"White","Male","Seattle City Light","37","77.36","R","Active"
"White","Male","Seattle City Light","58","51.47","R","Active"
"Black or African American","Female","Seattle Department of Transportation","60","75.91","R","Active"
"White","Male","Seattle Public Utilities","56","55.19","R","Active"
"Two or More Races","Male","Seattle Fire Department","51","81.31","R","Active"
"White","Male","Seattle Fire Department","28","46.31","R","Active"
"White","Male","Construction and Inspections","64","44.51","R","Active"
"Black or African American","Male","Seattle Public Utilities","50","47.59","R","Leave with Pay"
"Black or African American","Male","Civil Rights Office","28","56.66","R","Active"
"White","Male","Information Technology","49","74.70","R","Active"
"White","Male","Law Department","70","95.78","T","Active"
"White","Female","Seattle Public Library","43","35.72","R","Active"
"White","Male","Information Technology","49","75.80","R","Active"
"White","Male","Law Department","65","92.73","R","Active"
"White","Female","Seattle Police Department","60","87.98","R","Active"
"White","Male","Seattle Center","46","45.05","T","Active"
"Asian","Male","Parks and Recreation Department","36","37.95","R","Active"
"White","Female","Seattle Police Department","70","84.88","R","Active"
"White","Female","Sustainability and Environment","51","41.31","R","Leave with Pay"
"White","Female","Seattle City Light","67","51.97","R","Active"
"Black or African American","Female","Seattle Public Utilities","63","62.40","R","Active"
"White","Male","Seattle Fire Department","44","51.46","R","Active"
"White","Female","Seattle Department of Transportation","35","88.57","R","Active"
"White","Female","Seattle Public Utilities","52","69.74","R","Active"
"Asian","Male","Seattle Public Utilities","62","45.37","R","Active"
"White","Male","Information Technology","54","77.69","R","Active"
"White","Male","Seattle Department of Transportation","27","37.95","R","Leave with Pay"
"Asian","Female","Seattle City Light","48","57.31","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","54","43.39","R","Leave with Pay"
"White","Male","Seattle Police Department","39","88.40","R","Active"
"Two or More Races","Female","Human Services","67","76.76","R","Active"
"White","Male","Seattle Public Utilities","50","87.31","R","Active"
"White","Male","Seattle Police Department","30","64.73","R","Active"
"Two or More Races","Female","Seattle Police Department","33","45.29","R","Active"
"Black or African American","Male","Parks and Recreation Department","40","37.95","R","Active"
"Asian","Male","Seattle City Light","44","101.85","R","Active"
"White","Male","Seattle Public Library","59","54.46","R","Active"
"Black or African American","Male","Seattle Department of Transportation","50","80.98","R","Active"
"Asian","Female","Seattle Department of Transportation","45","94.12","R","Active"
"White","Male","Seattle Fire Department","42","55.06","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Utilities","45","90.72","R","Active"
"Black or African American","Female","Seattle Police Department","59","51.84","R","Active"
"Not Specified","Female","Seattle Municipal Courts","72","36.13","T","Active"
"White","Female","Seattle Public Library","33","57.88","R","Active"
"White","Male","Seattle Public Library","75","32.61","R","Leave with Pay"
"White","Male","Seattle Public Library","50","33.70","R","Active"
"Asian","Male","Seattle Center","54","30.30","R","Active"
"Black or African American","Male","Seattle Center","22","31.97","T","Active"
"Black or African American","Female","Seattle City Light","46","40.37","R","Active"
"Hispanic or Latino/a/x","Female","Finance and Administrative Service","66","50.33","R","Active"
"White","Female","Seattle Center","74","26.92","T","Active"
"Black or African American","Female","Construction and Inspections","57","56.05","R","Active"
"White","Male","Seattle City Light","45","65.54","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","31","37.95","R","Active"
"White","Female","Parks and Recreation Department","39","33.47","T","Active"
"White","Male","Parks and Recreation Department","24","26.92","T","Active"
"White","Male","Finance and Administrative Service","27","53.43","R","Active"
"White","Male","Seattle Public Utilities","50","87.31","R","Active"
"White","Male","Information Technology","46","77.86","R","Active"
"White","Male","Seattle Department of Transportation","39","72.73","R","Active"
"Two or More Races","Male","Seattle Center","41","31.97","T","Active"
"White","Female","Seattle Center","65","26.92","T","Active"
"White","Female","Seattle Police Department","46","58.33","R","Active"
"Black or African American","Female","Seattle Municipal Courts","61","43.93","R","Active"
"White","Female","Construction and Inspections","60","54.05","R","Active"
"White","Female","Human Services","48","50.42","R","Active"
"White","Female","Seattle Center","75","26.92","T","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","58","37.06","R","Active"
"White","Male","Seattle Center","54","45.05","T","Active"
"Asian","Female","Parks and Recreation Department","74","26.92","T","Active"
"Black or African American","Male","Seattle Public Utilities","54","33.98","R","Active"
"White","Male","Seattle Center","51","26.92","T","Active"
"White","Male","Seattle City Light","26","54.01","R","Active"
"White","Female","Education and Early Learning","61","44.21","R","Active"
"Asian","Female","Seattle Department of Transportation","41","87.31","R","Active"
"White","Male","Seattle City Light","39","75.09","R","Active"
"White","Male","Seattle Public Utilities","49","46.53","R","Active"
"White","Female","Seattle Department of Transportation","31","72.12","R","Active"
"White","Male","Construction and Inspections","51","66.50","R","Active"
"White","Male","Seattle Fire Department","34","51.46","R","Active"
"White","Male","Seattle Fire Department","50","62.54","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","33","62.54","R","Active"
"White","Female","Parks and Recreation Department","26","26.92","T","Active"
"White","Male","Seattle Public Utilities","42","87.31","R","Active"
"Asian","Male","Seattle Public Utilities","37","44.52","R","Active"
"Asian","Male","Information Technology","53","106.39","R","Active"
"Asian","Male","Seattle City Light","31","70.06","R","Active"
"White","Male","Seattle Public Utilities","36","43.39","R","Active"
"Black or African American","Female","Education and Early Learning","35","52.18","R","Active"
"Black or African American","Male","Seattle Public Utilities","42","74.86","R","Active"
"White","Male","Seattle City Light","50","67.84","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","59","48.38","R","Active"
"Black or African American","Female","Parks and Recreation Department","17","21.51","T","Active"
"Asian","Male","Construction and Inspections","36","61.68","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Municipal Courts","65","40.04","R","Active"
"White","Female","Seattle Police Department","56","41.31","R","Active"
"White","Male","Seattle City Light","69","92.84","R","Active"
"White","Male","Seattle Police Department","44","76.46","R","Active"
"Asian","Male","Seattle Public Utilities","53","71.66","R","Active"
"Asian","Female","Finance and Administrative Service","32","40.37","R","Active"
"White","Male","Seattle City Light","33","87.02","R","Active"
"Two or More Races","Male","Construction and Inspections","37","49.25","R","Active"
"Asian","Male","Human Services","55","50.42","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","52","94.12","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","37","77.36","R","Active"
"Asian","Female","Seattle Department of Transportation","51","62.40","R","Active"
"Not Specified","Male","Seattle Fire Department","37","55.06","R","Active"
"White","Female","Construction and Inspections","52","65.54","R","Active"
"Black or African American","Female","Seattle Public Utilities","50","39.18","R","Active"
"Asian","Female","Human Services","35","50.42","R","Active"
"White","Female","Seattle Public Utilities","58","92.84","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Information Technology","33","65.54","R","Active"
"White","Female","Human Services","52","42.55","T","Active"
"Two or More Races","Female","Seattle Department of Transportation","46","62.40","R","Active"
"White","Male","Seattle Police Department","59","35.86","R","Active"
"White","Female","Parks and Recreation Department","48","103.60","R","Active"
"White","Male","Seattle City Light","64","43.09","R","Active"
"Black or African American","Female","Human Services","60","38.25","R","Leave with Pay"
"Asian","Male","Seattle Police Department","34","48.31","R","Active"
"White","Male","Construction and Inspections","66","72.31","R","Active"
"White","Female","Neighborhoods","60","56.23","R","Active"
"Black or African American","Female","Human Services","63","39.18","R","Leave with Pay"
"Asian","Female","Seattle Police Department","38","64.73","R","Active"
"White","Male","Seattle City Light","36","68.90","R","Active"
"Asian","Female","Seattle Department of Transportation","58","44.64","R","Active"
"White","Female","Planning and Community Office","35","67.42","R","Leave with Pay"
"White","Male","Community Safety and Communication Center","25","46.18","R","Active"
"Two or More Races","Male","Seattle Public Utilities","60","92.84","R","Active"
"White","Male","Parks and Recreation Department","70","37.95","R","Active"
"Two or More Races","Male","Seattle Public Utilities","42","44.92","R","Active"
"White","Male","Seattle Public Utilities","40","51.90","R","Active"
"Asian","Male","Employees Retirement System","55","80.24","R","Active"
"White","Male","Seattle Fire Department","65","60.36","R","Active"
"Two or More Races","Male","Seattle Public Library","30","34.01","R","Active"
"American Indian or Alaska Native","Male","Seattle Public Utilities","48","62.84","R","Active"
"Two or More Races","Male","Seattle Police Department","38","76.46","R","Active"
"White","Female","Seattle Public Utilities","55","87.31","R","Active"
"White","Female","Seattle Public Utilities","50","65.54","R","Active"
"White","Male","Finance and Administrative Service","56","72.23","R","Leave with Pay"
"Two or More Races","Female","Information Technology","48","93.41","R","Active"
"White","Male","Seattle Public Library","50","54.46","R","Leave with Pay"
"White","Male","Seattle City Light","75","80.64","T","Active"
"Two or More Races","Female","Seattle Police Department","31","76.46","R","Active"
"Not Specified","Male","Seattle Department of Transportation","27","62.40","R","Active"
"White","Male","Seattle City Light","51","67.30","R","Active"
"Asian","Male","Seattle Public Utilities","57","94.12","R","Active"
"White","Male","Seattle Fire Department","50","59.56","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","50","48.38","R","Active"
"White","Male","Seattle Fire Department","31","51.46","R","Active"
"Black or African American","Male","Parks and Recreation Department","62","42.25","R","Active"
"Asian","Female","Parks and Recreation Department","58","44.51","R","Active"
"White","Male","Seattle City Light","30","80.68","R","Active"
"White","Male","Seattle Public Utilities","78","69.00","R","Active"
"Asian","Female","Seattle Public Utilities","75","55.19","R","Active"
"White","Female","Hearing Examiner","51","38.25","R","Active"
"White","Female","Seattle Public Library","42","54.46","R","Active"
"White","Male","Seattle City Light","55","77.36","R","Active"
"Black or African American","Female","Seattle Public Utilities","56","43.21","R","Leave with Pay"
"White","Male","Seattle Police Department","38","87.98","R","Active"
"White","Male","Seattle Police Department","52","76.46","R","Active"
"White","Female","Seattle Police Department","55","76.46","R","Active"
"Black or African American","Female","Seattle Department of Transportation","65","72.12","R","Active"
"White","Female","Seattle Public Library","30","35.72","R","Active"
"White","Male","Seattle Police Department","62","37.18","R","Active"
"Black or African American","Female","Seattle Public Library","27","38.96","R","Active"
"Two or More Races","Male","Seattle City Light","31","37.95","R","Active"
"Asian","Male","Seattle Police Department","29","70.46","R","Active"
"White","Male","Seattle Fire Department","52","73.98","R","Active"
"White","Male","Seattle Department of Transportation","49","92.84","R","Active"
"Not Specified","Male","Parks and Recreation Department","32","63.20","R","Active"
"Asian","Male","Seattle Public Utilities","54","45.88","R","Active"
"Black or African American","Male","Seattle Police Department","33","51.84","R","Active"
"Black or African American","Male","Parks and Recreation Department","63","22.48","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Municipal Courts","37","59.81","R","Active"
"Black or African American","Female","Law Department","42","67.12","R","Active"
"Black or African American","Male","Seattle Public Library","54","61.96","R","Leave with Pay"
"Asian","Female","Seattle Public Library","35","35.72","R","Active"
"Black or African American","Male","Seattle Public Library","64","42.13","R","Active"
"Black or African American","Male","Seattle Public Utilities","43","42.44","R","Active"
"White","Male","Seattle Police Department","33","76.46","R","Active"
"Black or African American","Female","Seattle Center","50","76.46","R","Leave with Pay"
"Asian","Female","Seattle Center","46","45.05","T","Active"
"White","Male","Seattle Fire Department","53","55.06","R","Active"
"White","Male","Seattle Fire Department","72","60.36","R","Active"
"White","Male","Seattle City Light","70","36.28","R","Active"
"White","Female","Mayor's Office","42","77.70","R","Active"
"Black or African American","Female","Seattle Municipal Courts","63","102.87","R","Active"
"White","Male","Parks and Recreation Department","45","57.31","R","Active"
"White","Male","Seattle Public Utilities","47","70.35","R","Leave with Pay"
"Two or More Races","Female","Seattle City Light","63","54.34","R","Active"
"Black or African American","Male","Seattle Police Department","57","76.09","R","Active"
"Black or African American","Male","Seattle Department of Transportation","68","70.35","R","Active"
"Black or African American","Female","Finance and Administrative Service","36","55.19","R","Active"
"White","Male","Seattle Public Library","41","54.46","R","Active"
"White","Male","Parks and Recreation Department","71","49.73","R","Active"
"Black or African American","Female","Seattle City Light","68","39.18","R","Active"
"Black or African American","Male","Seattle Public Utilities","49","70.35","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","35","39.24","R","Leave with Pay"
"White","Male","Seattle City Light","41","46.54","R","Active"
"White","Female","Human Services","49","50.42","R","Active"
"Asian","Non-Specified","Seattle Public Utilities","50","44.51","R","Leave with Pay"
"White","Male","Seattle Public Utilities","61","48.38","R","Active"
"White","Male","Seattle Municipal Courts","51","55.46","R","Active"
"Black or African American","Female","Parks and Recreation Department","60","37.95","R","Active"
"Black or African American","Female","Seattle Police Department","50","71.18","R","Active"
"White","Male","Seattle City Light","52","69.85","R","Active"
"White","Male","Seattle Public Utilities","61","92.84","R","Active"
"White","Female","Seattle Public Library","33","38.96","R","Active"
"White","Male","Seattle City Light","59","72.73","R","Active"
"Black or African American","Male","Parks and Recreation Department","35","21.51","T","Active"
"White","Male","Seattle City Light","61","54.34","R","Active"
"White","Male","Seattle Fire Department","40","51.46","R","Active"
"Black or African American","Female","Law Department","50","70.81","R","Active"
"White","Male","Parks and Recreation Department","60","65.46","R","Active"
"White","Female","Seattle Fire Department","35","71.27","R","Active"
"White","Female","Seattle Public Library","48","34.01","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Utilities","58","39.18","R","Active"
"Black or African American","Female","Seattle Public Library","33","39.62","R","Active"
"Asian","Male","Seattle City Light","50","80.64","R","Active"
"Black or African American","Male","Parks and Recreation Department","31","50.56","R","Active"
"White","Female","Seattle Police Department","55","46.91","R","Leave with Pay"
"Two or More Races","Male","Seattle Public Utilities","41","37.95","R","Active"
"Two or More Races","Male","Seattle City Light","29","77.36","R","Active"
"Asian","Male","Seattle Municipal Courts","41","63.79","R","Active"
"White","Male","Seattle Public Library","36","104.81","R","Active"
"White","Female","Finance and Administrative Service","56","69.22","R","Leave with Pay"
"Black or African American","Male","Seattle Fire Department","29","51.46","R","Active"
"White","Female","Parks and Recreation Department","42","71.86","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Public Utilities","53","74.86","R","Leave with Pay"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","54","94.12","R","Active"
"White","Male","Seattle Fire Department","24","51.97","R","Active"
"Asian","Male","Seattle Department of Transportation","55","107.13","R","Active"
"White","Male","Human Services","44","55.19","R","Active"
"White","Female","Human Resources","46","135.52","R","Leave with Pay"
"White","Male","Seattle Public Library","58","76.32","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","46","61.64","R","Active"
"Asian","Male","Neighborhoods","36","63.19","R","Active"
"White","Male","Seattle City Light","37","87.02","R","Active"
"White","Male","Seattle Police Department","51","104.25","R","Active"
"White","Male","Seattle Fire Department","52","69.92","R","Active"
"Hispanic or Latino/a/x","Female","Housing Office","27","60.75","R","Active"
"Asian","Male","Seattle City Light","50","87.02","R","Active"
"White","Male","Seattle Fire Department","32","51.46","R","Active"
"White","Male","Seattle City Light","32","77.36","R","Active"
"Black or African American","Female","Seattle Public Utilities","45","48.77","R","Active"
"White","Female","Seattle Police Department","49","62.38","R","Active"
"Two or More Races","Male","Human Services","55","48.58","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","35","40.37","R","Active"
"White","Male","Seattle Police Department","48","76.46","R","Active"
"White","Male","Seattle City Light","43","77.17","R","Active"
"White","Male","Seattle Department of Transportation","35","48.87","R","Active"
"White","Male","Seattle Police Department","54","76.09","R","Active"
"Asian","Male","Parks and Recreation Department","36","55.19","R","Active"
"Asian","Male","Seattle Public Utilities","62","74.86","R","Active"
"White","Male","Seattle Fire Department","33","46.31","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","47","62.93","R","Active"
"Black or African American","Male","Human Services","30","64.14","R","Active"
"White","Male","Seattle Fire Department","40","54.03","R","Active"
"Two or More Races","Female","Seattle Center","49","51.83","T","Active"
"White","Male","Seattle Fire Department","49","57.64","R","Active"
"White","Male","Information Technology","52","76.70","R","Active"
"Black or African American","Male","Seattle Public Utilities","46","51.16","R","Leave with Pay"
"White","Female","Construction and Inspections","58","78.76","R","Active"
"White","Non-Specified","Seattle Public Utilities","29","72.77","R","Active"
"Asian","Male","Seattle City Light","36","77.36","R","Active"
"White","Male","Seattle Fire Department","30","54.55","R","Active"
"White","Female","Information Technology","31","66.79","R","Active"
"Two or More Races","Male","Seattle City Light","52","69.00","R","Active"
"White","Male","Seattle City Light","38","62.65","R","Active"
"Black or African American","Female","Seattle Department of Transportation","62","69.00","R","Active"
"White","Male","Seattle Fire Department","54","59.18","R","Active"
"Asian","Male","Construction and Inspections","58","72.34","R","Active"
"Hispanic or Latino/a/x","Female","Finance and Administrative Service","54","80.27","R","Active"
"White","Male","Finance and Administrative Service","62","90.94","R","Active"
"White","Female","Finance and Administrative Service","49","82.27","R","Active"
"White","Male","Seattle City Light","60","49.76","R","Active"
"Asian","Female","Finance and Administrative Service","61","43.09","R","Active"
"American Indian or Alaska Native","Male","Seattle City Light","46","77.36","R","Active"
"White","Male","Seattle City Light","46","77.36","R","Active"
"Two or More Races","Female","Seattle Public Library","66","60.76","R","Active"
"White","Male","Community Safety and Communication Center","31","49.88","R","Active"
"White","Female","Seattle Public Utilities","54","37.06","R","Active"
"White","Male","Seattle Fire Department","40","69.92","R","Active"
"White","Male","Seattle Police Department","55","121.34","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","53","70.35","R","Active"
"Not Specified","Non-Specified","Seattle Department of Transportation","37","72.12","R","Active"
"White","Male","Finance and Administrative Service","56","72.00","R","Active"
"Two or More Races","Female","Community Safety and Communication Center","38","84.88","R","Active"
"Black or African American","Male","Parks and Recreation Department","55","68.42","R","Active"
"Asian","Male","Seattle Public Utilities","29","53.15","R","Active"
"White","Male","Seattle Police Department","58","76.46","R","Active"
"White","Male","Construction and Inspections","59","70.42","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","37","46.81","R","Active"
"Black or African American","Female","Seattle Public Library","24","32.28","R","Leave with Pay"
"Asian","Female","Seattle City Light","60","70.35","R","Active"
"White","Male","Seattle Police Department","54","74.98","R","Active"
"White","Male","Information Technology","54","91.59","R","Active"
"White","Non-Specified","Seattle Public Library","38","38.96","R","Active"
"White","Male","Seattle Police Department","45","76.46","R","Active"
"Black or African American","Male","Seattle Police Department","37","76.46","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","28","45.26","R","Active"
"White","Male","Seattle City Light","57","92.01","R","Active"
"Asian","Male","Seattle Public Utilities","55","37.95","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","60","45.43","R","Active"
"Asian","Female","Parks and Recreation Department","31","48.07","R","Active"
"Black or African American","Male","Seattle Fire Department","32","58.18","R","Active"
"Asian","Male","Seattle Fire Department","36","68.36","R","Active"
"Hispanic or Latino/a/x","Female","Parks and Recreation Department","52","34.30","R","Active"
"Asian","Male","Seattle Department of Transportation","36","62.40","R","Active"
"Black or African American","Male","Construction and Inspections","31","22.48","R","Active"
"White","Female","Law Department","43","71.57","R","Leave with Pay"
"White","Male","Seattle City Light","50","77.36","R","Active"
"White","Male","Seattle City Light","54","84.88","R","Active"
"Two or More Races","Male","Seattle Fire Department","36","51.46","R","Active"
"White","Female","Seattle Police Department","65","88.84","R","Active"
"Asian","Female","Human Services","38","84.88","R","Leave with Pay"
"White","Male","Seattle Department of Transportation","37","62.40","R","Active"
"White","Female","Seattle City Light","42","81.93","R","Active"
"White","Male","Seattle City Light","42","70.35","R","Active"
"Asian","Female","Legislative Department","18","22.56","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","60","127.69","R","Active"
"White","Female","Seattle Public Library","61","54.46","R","Active"
"White","Male","Seattle City Light","72","106.94","R","Active"
"White","Male","Seattle Public Utilities","63","53.15","R","Active"
"White","Male","Seattle Fire Department","53","55.06","R","Active"
"White","Male","Seattle Public Library","53","54.46","R","Active"
"Asian","Male","Seattle Public Utilities","35","81.55","R","Active"
"Two or More Races","Female","Human Services","37","50.42","R","Active"
"Asian","Male","Seattle Fire Department","56","55.06","R","Active"
"Asian","Male","Seattle Department of Transportation","63","87.31","R","Active"
"Asian","Male","Parks and Recreation Department","38","37.95","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Fire Department","33","48.88","R","Active"
"Two or More Races","Female","Parks and Recreation Department","44","51.24","R","Active"
"Asian","Male","Seattle Department of Transportation","55","87.31","R","Active"
"White","Male","Seattle Public Utilities","62","48.87","R","Active"
"Hispanic or Latino/a/x","Male","Human Services","57","50.33","R","Active"
"White","Male","Parks and Recreation Department","65","53.29","R","Active"
"Asian","Female","City Budget Office","51","65.54","R","Active"
"White","Female","Seattle Public Utilities","39","75.42","R","Active"
"Asian","Female","Seattle City Light","63","39.18","R","Active"
"Two or More Races","Male","Seattle Public Utilities","51","51.61","R","Active"
"Hispanic or Latino/a/x","Female","Neighborhoods","49","44.51","R","Active"
"White","Female","Neighborhoods","54","63.19","R","Active"
"White","Female","Seattle Public Utilities","58","66.79","R","Active"
"Asian","Male","Seattle Public Library","38","35.72","R","Active"
"White","Male","Seattle City Light","47","88.61","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","41","51.99","R","Active"
"White","Male","Seattle City Light","62","69.56","R","Active"
"White","Female","Seattle Public Utilities","45","65.54","R","Active"
"Black or African American","Male","Seattle Fire Department","37","51.46","R","Active"
"Not Specified","Male","Construction and Inspections","67","72.31","R","Active"
"Asian","Male","Information Technology","57","74.17","R","Active"
"Asian","Male","Information Technology","45","78.81","R","Leave with Pay"
"White","Female","Information Technology","63","78.13","R","Active"
"White","Male","Seattle City Light","51","62.07","R","Active"
"Black or African American","Male","Seattle City Light","61","80.64","R","Active"
"White","Female","Seattle Public Utilities","47","65.54","R","Active"
"White","Male","Seattle City Light","57","77.36","R","Active"
"Asian","Male","Human Services","51","53.48","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Department of Transportation","33","62.90","R","Active"
"Asian","Female","Seattle City Light","59","94.12","R","Active"
"White","Male","Information Technology","67","74.21","R","Active"
"White","Male","Seattle Fire Department","29","46.31","R","Active"
"White","Male","Seattle Department of Transportation","58","75.37","R","Active"
"Asian","Male","Seattle Department of Transportation","56","87.31","R","Active"
"Two or More Races","Female","Law Department","37","79.71","R","Active"
"White","Male","Legislative Department","56","102.97","R","Active"
"White","Female","Seattle Center","77","51.83","T","Active"
"Asian","Female","Seattle Department of Transportation","44","55.19","R","Active"
"Not Specified","Male","Seattle City Light","49","107.51","R","Active"
"Asian","Male","Seattle Municipal Courts","55","55.19","R","Active"
"Black or African American","Male","Seattle City Light","44","92.88","R","Active"
"White","Female","Law Department","41","89.81","R","Active"
"White","Female","Seattle Department of Transportation","34","75.91","R","Active"
"Two or More Races","Male","Seattle Police Department","28","76.46","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","32","45.26","R","Active"
"Two or More Races","Male","Seattle City Light","42","43.09","R","Active"
"White","Male","Parks and Recreation Department","44","74.86","R","Active"
"Asian","Female","Seattle Municipal Courts","60","75.71","R","Active"
"White","Female","Seattle City Light","71","65.54","R","Active"
"White","Male","Seattle City Light","40","77.36","R","Active"
"White","Male","Seattle Department of Transportation","50","79.21","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","28","77.36","R","Leave with Pay"
"White","Male","Seattle City Light","43","72.34","R","Active"
"White","Female","Seattle Public Utilities","56","73.62","R","Active"
"Black or African American","Male","Parks and Recreation Department","59","37.95","R","Active"
"White","Male","Seattle Public Utilities","36","76.23","R","Leave with Pay"
"White","Male","Seattle City Light","40","78.36","R","Leave with Pay"
"White","Male","Seattle Police Department","48","76.46","R","Active"
"White","Male","Seattle Fire Department","29","51.46","R","Active"
"Two or More Races","Female","Seattle Municipal Courts","39","38.72","R","Active"
"White","Male","Information Technology","57","88.40","R","Active"
"American Indian or Alaska Native","Male","Seattle Fire Department","33","51.46","R","Active"
"White","Male","Seattle Center","61","69.70","R","Active"
"Asian","Male","Seattle Department of Transportation","54","60.07","R","Active"
"White","Female","Seattle Public Library","40","35.72","R","Active"
"Not Specified","Female","Seattle Police Department","42","76.84","R","Active"
"Black or African American","Male","Seattle Police Department","58","37.18","R","Active"
"White","Female","Seattle Public Utilities","50","110.34","R","Active"
"White","Female","Seattle City Light","41","78.00","R","Active"
"White","Male","Seattle Police Department","70","37.18","R","Active"
"White","Male","Seattle Fire Department","48","60.21","R","Active"
"White","Female","Seattle Fire Department","35","55.06","R","Active"
"White","Male","Seattle Fire Department","49","68.05","R","Active"
"Asian","Male","Seattle City Light","47","98.25","R","Active"
"White","Female","Parks and Recreation Department","54","47.25","R","Active"
"White","Male","Seattle Police Department","37","70.46","R","Active"
"Black or African American","Female","Planning and Community Office","54","60.75","R","Active"
"White","Female","Parks and Recreation Department","77","64.17","T","Active"
"Asian","Female","Construction and Inspections","67","51.46","R","Active"
"White","Female","Seattle Public Library","39","47.70","R","Active"
"White","Male","Housing Office","55","51.46","R","Active"
"Asian","Female","Seattle Center","73","26.92","T","Active"
"White","Female","Parks and Recreation Department","30","33.98","R","Active"
"White","Female","Seattle Public Library","59","32.61","R","Active"
"Asian","Female","Seattle Public Library","25","30.81","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Library","31","31.10","R","Active"
"Two or More Races","Female","Human Services","43","48.58","R","Active"
"Black or African American","Male","Parks and Recreation Department","34","40.68","R","Active"
"Asian","Male","Seattle Public Utilities","53","38.70","R","Active"
"White","Female","Parks and Recreation Department","29","37.06","R","Active"
"Black or African American","Male","Parks and Recreation Department","31","39.68","R","Active"
"Asian","Male","Parks and Recreation Department","26","26.92","T","Active"
"Not Specified","Male","Seattle City Light","31","86.61","R","Active"
"Asian","Male","Seattle City Light","62","38.70","R","Active"
"White","Male","Seattle City Light","33","54.13","R","Active"
"Asian","Male","Parks and Recreation Department","73","37.95","R","Active"
"White","Female","Parks and Recreation Department","21","26.92","T","Active"
"Asian","Male","Seattle Public Utilities","44","55.19","R","Leave with Pay"
"White","Female","Human Services","49","57.11","R","Active"
"White","Female","Human Services","38","41.31","R","Leave with Pay"
"White","Male","Parks and Recreation Department","53","63.19","R","Active"
"Black or African American","Female","Parks and Recreation Department","41","55.19","R","Active"
"Black or African American","Male","Construction and Inspections","49","56.05","R","Active"
"White","Male","Parks and Recreation Department","63","51.12","R","Active"
"White","Male","Seattle City Light","61","77.36","R","Active"
"White","Female","Parks and Recreation Department","18","26.92","T","Active"
"White","Male","Seattle City Light","44","87.02","R","Active"
"White","Male","Seattle Public Utilities","57","38.70","R","Active"
"Not Specified","Male","Seattle Public Utilities","54","51.12","R","Active"
"Black or African American","Male","Seattle Center","21","28.14","T","Active"
"Asian","Female","Parks and Recreation Department","55","26.92","T","Active"
"White","Female","Parks and Recreation Department","58","37.06","R","Active"
"White","Female","Seattle Center","66","45.05","T","Active"
"Asian","Male","Seattle Municipal Courts","36","40.04","R","Active"
"Asian","Male","Finance and Administrative Service","36","53.95","R","Active"
"American Indian or Alaska Native","Female","Construction and Inspections","62","44.64","R","Active"
