"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"Asian","Male","Parks and Recreation Department","53","42.22","R","Active"
"Two or More Races","Male","Finance and Administrative Service","25","47.29","R","Active"
"Asian","Female","City Budget Office","34","69.64","R","Active"
"Not Specified","Male","Seattle City Light","38","77.36","R","Active"
"White","Male","Seattle Public Utilities","41","30.28","R","Active"
"White","Female","Legislative Department","59","68.03","R","Active"
"White","Female","Seattle Police Department","38","34.81","R","Active"
"White","Male","Seattle Department of Transportation","53","62.40","R","Active"
"White","Female","Seattle Department of Transportation","45","94.12","R","Active"
"Two or More Races","Male","Seattle Public Library","39","33.89","R","Active"
"White","Male","Seattle Fire Department","44","71.14","R","Active"
"White","Male","Seattle Department of Transportation","41","87.31","R","Active"
"White","Male","Seattle Public Library","54","77.16","R","Active"
"Two or More Races","Female","Seattle Police Department","34","76.46","R","Active"
"White","Male","Seattle City Light","43","87.02","R","Active"
"Two or More Races","Male","Seattle Center","35","37.95","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Police Department","49","46.43","R","Active"
"Black or African American","Male","Human Resources","36","104.80","R","Active"
"White","Male","Information Technology","64","66.35","R","Active"
"White","Male","Seattle Police Department","60","84.07","R","Active"
"White","X","Parks and Recreation Department","33","31.64","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","37","48.68","R","Active"
"White","Male","Seattle City Light","36","22.48","R","Active"
"White","Male","Seattle Police Department","49","87.98","R","Active"
"White","Male","Seattle Fire Department","44","55.06","R","Active"
"Asian","Male","Seattle Department of Transportation","67","72.12","R","Active"
"Asian","Male","Seattle City Light","42","48.31","R","Active"
"White","Male","Seattle Fire Department","35","54.03","R","Active"
"White","Male","Seattle Department of Transportation","56","41.85","R","Active"
"Two or More Races","Male","Parks and Recreation Department","47","37.06","R","Active"
"White","Male","Information Technology","47","64.90","R","Active"
"White","Male","Seattle City Light","58","77.36","R","Active"
"White","Female","Seattle Police Department","51","104.25","R","Active"
"White","Male","Parks and Recreation Department","58","61.64","R","Active"
"Asian","Male","Seattle Public Utilities","52","46.81","R","Active"
"Asian","Female","Seattle Public Utilities","58","45.88","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","57","66.81","R","Active"
"White","Male","Information Technology","66","78.00","R","Active"
"Black or African American","Female","Seattle City Light","63","68.77","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","57","44.97","R","Active"
"White","Male","Seattle Department of Transportation","39","72.14","R","Active"
"White","Male","Parks and Recreation Department","45","57.00","R","Active"
"White","Female","Community Safety and Communication Center","37","53.73","R","Leave with Pay"
"White","Female","Construction and Inspections","45","49.25","R","Active"
"Hispanic or Latino/a/x","Male","Community Safety and Communication Center","37","49.88","R","Active"
"White","Female","Law Department","52","91.41","R","Active"
"Asian","Female","Seattle Police Department","33","39.19","R","Active"
"White","Male","Human Resources","42","87.02","R","Active"
"White","Male","Construction and Inspections","56","92.36","R","Active"
"Asian","Female","Finance and Administrative Service","60","91.84","R","Active"
"White","Male","Seattle Fire Department","54","153.70","R","Active"
"Asian","Male","Information Technology","51","80.11","R","Active"
"Not Specified","Male","Seattle City Light","36","77.36","R","Active"
"Asian","Male","Information Technology","51","87.94","R","Active"
